"NetC";"ARPA Sicilia";;;;;;;;;;;;;;;;;;;;;;;
"Stat";"C.da Gabbia";;;;;;;;;;;;;;;;;;;;;;;
"Parm";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"SO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"NO2";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene";"Benzene"
"PtId";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"7";"7";"7";"7";"7";"7";"7";"7"
"Unit";"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";;"ug/m3 293K";;;"ug/m3 293K";;"ug/m3 293K";"ug/m3 293K";
"Field";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp";"Aver";"SWrd";"MinT";"Min";"MaxT";"Max";"Sigma";"Samp"
"11/09/2015 00:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 01:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 02:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 03:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 04:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 05:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 06:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 07:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 08:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 09:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 10:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 11:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 12:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 13:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 14:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 15:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 16:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 17:00";;;;;;;;;;;;;;;;;;;;;;;;
"11/09/2015 18:00";"0.0";"80400000";"18:00";"0.0";"18:00";"0.0";"0.0";"631";"4.61190461";"80400000";"17:13";"2.17416388";"17:23";"6.49051918";"0.84191096";"631";"0.13340904";"80400000";"17:22";"0.07162324";"17:07";"0.17695698";"0.03576077";"5"
